Order ID,Order Date,Ship Date,Region,Category,Sub-Category,Segment,Sales,Profit,Quantity,Discount
CA-100067,2022-03-09,2022-03-12,West,Technology,Machines,Corporate,249.51,-34.18,5,0.1
CA-100068,2022-03-10,2022-03-13,East,Technology,Accessories,Consumer,716.81,-72.96,7,0.08
CA-100069,2022-03-11,2022-03-13,South,Technology,Copiers,Corporate,824.31,227.28,3,0.15
CA-100070,2022-03-12,2022-03-16,West,Furniture,Bookcases,Home Office,805.92,-90.47,5,0.23
CA-100071,2022-03-13,2022-03-16,South,Office Supplies,Paper,Home Office,556.98,46.71,7,0.26
CA-100072,2022-03-14,2022-03-17,East,Furniture,Furnishings,Home Office,524.97,47.07,9,0.25
CA-100073,2022-03-15,2022-03-18,Central,Furniture,Chairs,Corporate,151.45,6.79,2,0.11
CA-100074,2022-03-16,2022-03-19,East,Technology,Machines,Consumer,777.59,95.16,4,0.21
CA-100075,2022-03-17,2022-03-20,East,Furniture,Chairs,Consumer,278.7,-23.71,7,0.09
CA-100076,2022-03-18,2022-03-21,East,Technology,Machines,Consumer,501.73,38.3,1,0.02
CA-100077,2022-03-19,2022-03-23,East,Office Supplies,Paper,Corporate,291.43,-4.05,2,0.21
CA-100078,2022-03-20,2022-03-24,Central,Technology,Copiers,Corporate,142.49,18.64,9,0.0
CA-100079,2022-03-21,2022-03-24,Central,Furniture,Furnishings,Corporate,633.26,-81.94,7,0.12
CA-100080,2022-03-22,2022-03-26,South,Furniture,Chairs,Corporate,63.79,5.45,7,0.1
CA-100081,2022-03-23,2022-03-25,West,Technology,Copiers,Corporate,751.16,-80.65,6,0.21
CA-100082,2022-03-24,2022-03-27,Central,Technology,Phones,Consumer,324.41,-19.68,3,0.23
CA-100083,2022-03-25,2022-03-27,Central,Furniture,Tables,Corporate,10.13,-0.92,3,0.09
CA-100084,2022-03-26,2022-03-28,West,Office Supplies,Pens,Corporate,516.02,-56.03,2,0.24
CA-100085,2022-03-27,2022-03-30,Central,Office Supplies,Binders,Consumer,56.38,12.0,6,0.09
CA-100086,2022-03-28,2022-04-01,East,Technology,Machines,Corporate,283.41,-16.2,4,0.13
CA-100087,2022-03-29,2022-03-31,East,Office Supplies,Paper,Consumer,709.91,187.11,5,0.22
CA-100088,2022-03-30,2022-04-02,West,Furniture,Tables,Consumer,72.06,20.53,3,0.21
CA-100089,2022-03-31,2022-04-02,South,Technology,Accessories,Home Office,840.95,72.01,6,0.3
CA-100090,2022-04-01,2022-04-03,South,Furniture,Furnishings,Home Office,13.78,-1.77,3,0.07
CA-100091,2022-04-02,2022-04-04,West,Furniture,Furnishings,Home Office,254.36,-3.24,8,0.2
CA-100092,2022-04-03,2022-04-05,West,Office Supplies,Pens,Home Office,743.5,147.86,9,0.18
CA-100093,2022-04-04,2022-04-08,East,Technology,Machines,Corporate,323.11,-5.27,4,0.27
CA-100094,2022-04-05,2022-04-07,South,Technology,Copiers,Home Office,110.87,-17.35,9,0.05
CA-100095,2022-04-06,2022-04-08,Central,Office Supplies,Paper,Consumer,366.63,28.74,7,0.23
CA-100096,2022-04-07,2022-04-09,East,Furniture,Bookcases,Corporate,277.69,61.8,3,0.17
CA-100097,2022-04-08,2022-04-12,West,Furniture,Chairs,Home Office,844.28,167.14,7,0.08
CA-100098,2022-04-09,2022-04-11,South,Furniture,Tables,Consumer,320.21,-36.0,1,0.14
CA-100099,2022-04-10,2022-04-12,Central,Furniture,Tables,Corporate,791.04,107.88,3,0.1
CA-100100,2022-04-11,2022-04-15,Central,Technology,Copiers,Corporate,892.95,-80.14,6,0.17
CA-100101,2022-04-12,2022-04-16,East,Technology,Accessories,Home Office,439.48,-39.95,4,0.27
CA-100102,2022-04-13,2022-04-17,South,Office Supplies,Envelopes,Corporate,910.84,215.9,7,0.17
CA-100103,2022-04-14,2022-04-16,South,Office Supplies,Binders,Consumer,383.54,-28.83,3,0.19
CA-100104,2022-04-15,2022-04-19,West,Technology,Copiers,Corporate,964.44,-65.94,1,0.16
CA-100105,2022-04-16,2022-04-20,South,Technology,Copiers,Consumer,98.4,-19.65,9,0.02
CA-100106,2022-04-17,2022-04-19,South,Furniture,Tables,Corporate,690.15,162.42,6,0.07
CA-100107,2022-04-18,2022-04-22,East,Furniture,Furnishings,Home Office,498.88,97.93,8,0.15
CA-100108,2022-04-19,2022-04-21,South,Office Supplies,Paper,Consumer,393.77,44.76,3,0.09
CA-100109,2022-04-20,2022-04-23,Central,Technology,Accessories,Corporate,636.38,111.45,8,0.05
CA-100110,2022-04-21,2022-04-25,East,Office Supplies,Pens,Corporate,706.82,-87.63,2,0.15
CA-100111,2022-04-22,2022-04-25,East,Technology,Accessories,Corporate,14.32,0.42,4,0.1
CA-100112,2022-04-23,2022-04-25,West,Furniture,Chairs,Consumer,175.28,-4.28,3,0.08
CA-100113,2022-04-24,2022-04-28,South,Office Supplies,Paper,Consumer,715.92,-109.62,1,0.14
CA-100114,2022-04-25,2022-04-27,West,Office Supplies,Paper,Consumer,669.72,28.84,7,0.04
CA-100115,2022-04-26,2022-04-29,Central,Technology,Copiers,Home Office,966.39,251.62,2,0.28
CA-100116,2022-04-27,2022-04-29,East,Furniture,Tables,Home Office,763.43,-137.39,4,0.26
CA-100117,2022-04-28,2022-05-02,East,Office Supplies,Envelopes,Consumer,951.26,-51.62,9,0.21
CA-100118,2022-04-29,2022-05-03,East,Furniture,Bookcases,Corporate,705.52,-67.89,6,0.03
CA-100119,2022-04-30,2022-05-03,Central,Office Supplies,Paper,Home Office,305.07,-24.69,8,0.23
CA-100120,2022-05-01,2022-05-03,Central,Furniture,Chairs,Consumer,114.31,29.06,2,0.24
CA-100121,2022-05-02,2022-05-06,West,Technology,Phones,Corporate,784.01,26.68,7,0.23
CA-100122,2022-05-03,2022-05-06,West,Office Supplies,Pens,Home Office,647.71,21.47,6,0.03
CA-100123,2022-05-04,2022-05-08,West,Office Supplies,Pens,Corporate,57.7,10.4,9,0.19
CA-100124,2022-05-05,2022-05-09,South,Furniture,Tables,Corporate,366.45,-44.98,7,0.25
CA-100125,2022-05-06,2022-05-08,East,Furniture,Furnishings,Corporate,957.23,41.77,1,0.17
CA-100126,2022-05-07,2022-05-11,East,Office Supplies,Paper,Corporate,505.4,7.58,8,0.19
CA-100127,2022-05-08,2022-05-10,West,Technology,Phones,Home Office,438.4,43.16,3,0.14
CA-100128,2022-05-09,2022-05-13,East,Furniture,Furnishings,Home Office,463.12,138.83,2,0.16
CA-100129,2022-05-10,2022-05-13,West,Furniture,Furnishings,Home Office,216.79,40.05,3,0.01
CA-100130,2022-05-11,2022-05-15,South,Furniture,Furnishings,Consumer,375.02,-0.4,6,0.19
CA-100131,2022-05-12,2022-05-14,South,Office Supplies,Paper,Home Office,376.12,80.41,3,0.02
CA-100132,2022-05-13,2022-05-15,Central,Office Supplies,Binders,Corporate,61.83,-7.09,5,0.13
CA-100133,2022-05-14,2022-05-17,South,Office Supplies,Pens,Home Office,769.89,-142.25,6,0.09
CA-100134,2022-05-15,2022-05-19,West,Office Supplies,Paper,Corporate,422.34,-41.29,8,0.16
CA-100135,2022-05-16,2022-05-20,South,Technology,Copiers,Consumer,823.96,-24.55,7,0.04
CA-100136,2022-05-17,2022-05-20,Central,Technology,Machines,Corporate,851.84,47.1,8,0.21
CA-100137,2022-05-18,2022-05-22,East,Office Supplies,Envelopes,Corporate,219.87,23.65,3,0.24
CA-100138,2022-05-19,2022-05-23,West,Technology,Accessories,Corporate,660.78,168.7,4,0.05
CA-100139,2022-05-20,2022-05-22,East,Furniture,Chairs,Consumer,477.56,26.23,6,0.03
CA-100140,2022-05-21,2022-05-25,Central,Furniture,Furnishings,Home Office,881.36,44.63,7,0.04
CA-100141,2022-05-22,2022-05-26,Central,Furniture,Bookcases,Home Office,223.58,-39.1,9,0.26
CA-100142,2022-05-23,2022-05-26,Central,Office Supplies,Pens,Consumer,681.04,-124.32,1,0.16
CA-100143,2022-05-24,2022-05-27,East,Furniture,Tables,Corporate,611.67,46.23,8,0.14
CA-100144,2022-05-25,2022-05-27,East,Technology,Copiers,Home Office,302.35,5.77,8,0.03
CA-100145,2022-05-26,2022-05-30,East,Office Supplies,Binders,Consumer,145.23,31.89,6,0.19
CA-100146,2022-05-27,2022-05-31,East,Technology,Machines,Home Office,655.12,-78.39,4,0.26
CA-100147,2022-05-28,2022-06-01,Central,Furniture,Bookcases,Consumer,741.21,-138.99,3,0.25
CA-100148,2022-05-29,2022-05-31,Central,Furniture,Bookcases,Corporate,322.47,7.91,3,0.19
CA-100149,2022-05-30,2022-06-01,West,Furniture,Furnishings,Home Office,648.38,-52.69,6,0.02
CA-100150,2022-05-31,2022-06-03,West,Office Supplies,Paper,Consumer,401.18,-70.28,8,0.03
CA-100151,2022-06-01,2022-06-03,East,Technology,Copiers,Home Office,716.07,116.22,7,0.01
CA-100152,2022-06-02,2022-06-06,South,Office Supplies,Paper,Home Office,207.22,-29.88,1,0.08
CA-100153,2022-06-03,2022-06-07,South,Office Supplies,Paper,Home Office,891.31,92.84,6,0.04
CA-100154,2022-06-04,2022-06-06,Central,Furniture,Bookcases,Home Office,294.54,-17.52,7,0.08
CA-100155,2022-06-05,2022-06-09,Central,Office Supplies,Binders,Consumer,374.11,-42.37,7,0.12
CA-100156,2022-06-06,2022-06-10,Central,Office Supplies,Paper,Corporate,67.51,-0.68,9,0.28
CA-100157,2022-06-07,2022-06-09,West,Furniture,Bookcases,Consumer,120.4,24.17,5,0.18
CA-100158,2022-06-08,2022-06-10,West,Office Supplies,Paper,Consumer,520.7,-2.06,1,0.25
CA-100159,2022-06-09,2022-06-13,Central,Furniture,Furnishings,Consumer,274.92,48.22,2,0.21
CA-100160,2022-06-10,2022-06-14,Central,Furniture,Chairs,Corporate,837.13,-114.9,4,0.03
CA-100161,2022-06-11,2022-06-15,Central,Furniture,Chairs,Home Office,24.55,4.58,5,0.22
CA-100162,2022-06-12,2022-06-15,South,Furniture,Furnishings,Home Office,385.3,-31.41,9,0.08
CA-100163,2022-06-13,2022-06-16,West,Office Supplies,Envelopes,Home Office,343.97,47.71,1,0.19
CA-100164,2022-06-14,2022-06-17,South,Furniture,Tables,Corporate,29.13,2.41,3,0.1
CA-100165,2022-06-15,2022-06-17,South,Furniture,Furnishings,Home Office,133.12,35.22,5,0.3
CA-100166,2022-06-16,2022-06-19,Central,Office Supplies,Binders,Corporate,419.51,-2.66,3,0.08
CA-100167,2022-06-17,2022-06-19,Central,Office Supplies,Envelopes,Home Office,497.94,-83.11,4,0.08
CA-100168,2022-06-18,2022-06-20,East,Technology,Copiers,Home Office,410.25,-78.12,3,0.28
CA-100169,2022-06-19,2022-06-22,East,Office Supplies,Pens,Consumer,535.63,114.32,4,0.01
CA-100170,2022-06-20,2022-06-23,South,Office Supplies,Paper,Corporate,599.18,37.37,1,0.21
CA-100171,2022-06-21,2022-06-24,West,Technology,Phones,Consumer,19.82,3.72,8,0.22
CA-100172,2022-06-22,2022-06-26,Central,Office Supplies,Pens,Consumer,469.45,-38.86,4,0.25
CA-100173,2022-06-23,2022-06-26,Central,Office Supplies,Envelopes,Consumer,963.86,-26.47,7,0.29
CA-100174,2022-06-24,2022-06-28,South,Office Supplies,Pens,Corporate,523.84,-96.88,2,0.29
CA-100175,2022-06-25,2022-06-27,East,Office Supplies,Pens,Corporate,680.77,191.12,2,0.02
CA-100176,2022-06-26,2022-06-30,West,Technology,Accessories,Home Office,318.75,42.69,6,0.25
CA-100177,2022-06-27,2022-06-30,East,Office Supplies,Envelopes,Consumer,776.25,206.95,2,0.19
CA-100178,2022-06-28,2022-06-30,East,Office Supplies,Envelopes,Home Office,775.19,-52.13,6,0.19
CA-100179,2022-06-29,2022-07-01,East,Technology,Machines,Consumer,526.08,55.62,2,0.04
CA-100180,2022-06-30,2022-07-02,East,Furniture,Tables,Corporate,976.25,135.94,4,0.2
CA-100181,2022-07-01,2022-07-05,Central,Technology,Machines,Corporate,134.29,-5.54,7,0.29
CA-100182,2022-07-02,2022-07-05,Central,Furniture,Furnishings,Corporate,26.78,6.0,8,0.27
CA-100183,2022-07-03,2022-07-05,East,Technology,Copiers,Consumer,772.46,211.33,3,0.13
CA-100184,2022-07-04,2022-07-06,West,Technology,Copiers,Corporate,809.08,196.14,9,0.01
CA-100185,2022-07-05,2022-07-07,South,Office Supplies,Envelopes,Consumer,129.01,21.87,2,0.11
CA-100186,2022-07-06,2022-07-10,West,Furniture,Chairs,Home Office,272.93,-16.72,8,0.25
CA-100187,2022-07-07,2022-07-11,West,Office Supplies,Binders,Consumer,27.38,-1.62,8,0.21
CA-100188,2022-07-08,2022-07-11,West,Furniture,Furnishings,Home Office,300.38,84.61,4,0.14
CA-100189,2022-07-09,2022-07-13,East,Technology,Phones,Consumer,775.41,-151.09,1,0.02
CA-100190,2022-07-10,2022-07-12,Central,Technology,Accessories,Home Office,522.78,82.61,1,0.13
CA-100191,2022-07-11,2022-07-14,West,Furniture,Bookcases,Corporate,354.61,54.3,2,0.14
CA-100192,2022-07-12,2022-07-14,East,Office Supplies,Paper,Home Office,378.02,42.09,9,0.28
CA-100193,2022-07-13,2022-07-15,West,Office Supplies,Pens,Corporate,11.34,3.35,2,0.19
CA-100194,2022-07-14,2022-07-18,West,Office Supplies,Binders,Corporate,306.8,-13.52,2,0.09
CA-100195,2022-07-15,2022-07-18,East,Office Supplies,Binders,Home Office,649.99,-19.51,6,0.16
CA-100196,2022-07-16,2022-07-20,Central,Technology,Machines,Consumer,974.45,-156.43,7,0.02
CA-100197,2022-07-17,2022-07-21,Central,Technology,Phones,Consumer,848.59,18.16,7,0.29
CA-100198,2022-07-18,2022-07-21,South,Technology,Phones,Consumer,33.36,-2.32,9,0.11
CA-100199,2022-07-19,2022-07-21,East,Technology,Machines,Consumer,899.57,-25.46,6,0.14
CA-100200,2022-07-20,2022-07-22,South,Technology,Machines,Consumer,785.37,170.65,8,0.11
CA-100201,2022-07-21,2022-07-24,South,Office Supplies,Pens,Corporate,782.57,209.53,6,0.2
CA-100202,2022-07-22,2022-07-24,South,Office Supplies,Binders,Consumer,463.42,-49.65,2,0.2
CA-100203,2022-07-23,2022-07-26,Central,Office Supplies,Pens,Corporate,404.03,-5.55,1,0.21
CA-100204,2022-07-24,2022-07-27,East,Office Supplies,Pens,Corporate,309.89,81.91,5,0.08
CA-100205,2022-07-25,2022-07-29,South,Technology,Accessories,Corporate,75.04,-12.69,9,0.09
CA-100206,2022-07-26,2022-07-29,East,Technology,Phones,Home Office,235.95,-36.29,8,0.04
CA-100207,2022-07-27,2022-07-31,East,Technology,Phones,Home Office,254.14,-30.14,4,0.2
CA-100208,2022-07-28,2022-07-30,Central,Furniture,Tables,Corporate,489.24,47.75,5,0.01
CA-100209,2022-07-29,2022-07-31,South,Office Supplies,Pens,Home Office,749.97,-93.57,5,0.18
CA-100210,2022-07-30,2022-08-01,South,Office Supplies,Binders,Consumer,479.07,136.07,6,0.26
CA-100211,2022-07-31,2022-08-02,East,Technology,Copiers,Consumer,67.27,1.57,3,0.27
CA-100212,2022-08-01,2022-08-05,West,Office Supplies,Paper,Corporate,958.21,48.64,5,0.13
CA-100213,2022-08-02,2022-08-04,Central,Office Supplies,Envelopes,Consumer,943.3,-72.32,2,0.14
CA-100214,2022-08-03,2022-08-06,Central,Technology,Copiers,Corporate,787.34,27.93,1,0.02
CA-100215,2022-08-04,2022-08-07,Central,Furniture,Chairs,Corporate,991.41,129.83,1,0.2
CA-100216,2022-08-05,2022-08-08,Central,Furniture,Furnishings,Consumer,549.04,96.41,7,0.25
CA-100217,2022-08-06,2022-08-10,South,Furniture,Bookcases,Home Office,963.14,170.41,2,0.07
CA-100218,2022-08-07,2022-08-09,South,Technology,Copiers,Consumer,84.85,7.55,4,0.13
CA-100219,2022-08-08,2022-08-10,West,Office Supplies,Envelopes,Consumer,372.02,93.82,5,0.25
CA-100220,2022-08-09,2022-08-11,Central,Technology,Machines,Corporate,233.13,48.66,7,0.26
CA-100221,2022-08-10,2022-08-14,Central,Technology,Machines,Corporate,203.87,36.4,2,0.07
CA-100222,2022-08-11,2022-08-14,East,Office Supplies,Binders,Corporate,149.39,-25.72,6,0.17
CA-100223,2022-08-12,2022-08-15,South,Furniture,Chairs,Corporate,626.19,-123.08,1,0.06
CA-100224,2022-08-13,2022-08-15,Central,Furniture,Bookcases,Home Office,783.51,-73.47,7,0.03
CA-100225,2022-08-14,2022-08-17,West,Technology,Copiers,Home Office,582.52,76.75,9,0.27
CA-100226,2022-08-15,2022-08-18,West,Furniture,Tables,Home Office,155.49,0.87,5,0.25
CA-100227,2022-08-16,2022-08-20,South,Technology,Phones,Corporate,813.01,0.98,5,0.23
CA-100228,2022-08-17,2022-08-21,West,Technology,Copiers,Corporate,639.6,154.97,4,0.01
CA-100229,2022-08-18,2022-08-22,West,Office Supplies,Envelopes,Corporate,394.28,97.7,3,0.25
CA-100230,2022-08-19,2022-08-23,South,Office Supplies,Envelopes,Home Office,677.39,172.46,9,0.13
CA-100231,2022-08-20,2022-08-22,Central,Office Supplies,Binders,Corporate,267.31,-11.51,5,0.1
CA-100232,2022-08-21,2022-08-25,Central,Technology,Machines,Consumer,351.74,51.19,8,0.16
CA-100233,2022-08-22,2022-08-25,West,Office Supplies,Paper,Consumer,918.31,-58.94,9,0.03
CA-100234,2022-08-23,2022-08-25,West,Furniture,Bookcases,Corporate,297.6,-31.16,5,0.23
CA-100235,2022-08-24,2022-08-27,Central,Furniture,Bookcases,Consumer,475.29,-51.18,9,0.17
CA-100236,2022-08-25,2022-08-28,South,Technology,Copiers,Consumer,891.24,-25.8,2,0.06
CA-100237,2022-08-26,2022-08-29,West,Technology,Phones,Home Office,710.64,10.64,9,0.06
CA-100238,2022-08-27,2022-08-31,East,Office Supplies,Envelopes,Corporate,71.58,15.42,4,0.06
CA-100239,2022-08-28,2022-09-01,South,Technology,Accessories,Corporate,155.83,-21.82,6,0.02
CA-100240,2022-08-29,2022-08-31,West,Technology,Phones,Home Office,17.76,2.97,6,0.18
CA-100241,2022-08-30,2022-09-01,West,Furniture,Bookcases,Consumer,634.61,41.71,6,0.25
CA-100242,2022-08-31,2022-09-04,East,Furniture,Tables,Consumer,453.2,-25.39,2,0.01
CA-100243,2022-09-01,2022-09-04,East,Office Supplies,Pens,Corporate,142.93,6.63,7,0.01
CA-100244,2022-09-02,2022-09-04,Central,Technology,Copiers,Consumer,958.35,-47.95,6,0.17
CA-100245,2022-09-03,2022-09-07,South,Technology,Phones,Home Office,534.36,52.39,1,0.25
CA-100246,2022-09-04,2022-09-08,South,Furniture,Bookcases,Home Office,249.47,4.22,2,0.1
CA-100247,2022-09-05,2022-09-09,Central,Technology,Accessories,Corporate,505.6,-59.56,7,0.1
CA-100248,2022-09-06,2022-09-09,South,Furniture,Bookcases,Home Office,682.82,-96.76,1,0.18
CA-100249,2022-09-07,2022-09-11,South,Office Supplies,Envelopes,Home Office,85.48,6.27,1,0.08
CA-100250,2022-09-08,2022-09-12,South,Furniture,Bookcases,Corporate,281.96,70.83,1,0.01
CA-100251,2022-09-09,2022-09-13,South,Technology,Phones,Home Office,808.9,-22.67,8,0.22
CA-100252,2022-09-10,2022-09-14,South,Office Supplies,Paper,Home Office,465.07,77.43,4,0.19
CA-100253,2022-09-11,2022-09-13,East,Furniture,Chairs,Home Office,551.11,71.28,4,0.17
CA-100254,2022-09-12,2022-09-14,South,Furniture,Furnishings,Consumer,438.49,116.54,2,0.22
CA-100255,2022-09-13,2022-09-17,East,Office Supplies,Pens,Corporate,53.46,11.25,1,0.2
CA-100256,2022-09-14,2022-09-17,South,Office Supplies,Binders,Corporate,174.09,14.5,9,0.06
CA-100257,2022-09-15,2022-09-17,Central,Furniture,Chairs,Corporate,451.09,57.97,7,0.11
CA-100258,2022-09-16,2022-09-20,West,Technology,Phones,Consumer,217.09,54.1,4,0.04
CA-100259,2022-09-17,2022-09-19,East,Furniture,Chairs,Consumer,59.48,-0.01,6,0.04
CA-100260,2022-09-18,2022-09-20,South,Office Supplies,Envelopes,Corporate,845.21,-30.94,2,0.2
CA-100261,2022-09-19,2022-09-22,Central,Furniture,Furnishings,Consumer,981.38,-190.97,7,0.26
CA-100262,2022-09-20,2022-09-24,West,Office Supplies,Pens,Corporate,795.21,169.6,2,0.29
CA-100263,2022-09-21,2022-09-25,East,Office Supplies,Pens,Consumer,855.25,171.47,8,0.19
CA-100264,2022-09-22,2022-09-25,West,Technology,Accessories,Home Office,249.56,-36.88,8,0.06
CA-100265,2022-09-23,2022-09-26,Central,Office Supplies,Envelopes,Home Office,961.02,84.98,1,0.03
CA-100266,2022-09-24,2022-09-28,East,Office Supplies,Binders,Corporate,204.96,6.56,8,0.24
